pid,image,session_id,parent_id,command_line,start_s,end_s,duration_s,first_io_s,first_image_s
3932,SenseTVM.exe,0,7028,-,68.1195419,163.5470546,95.4275127,68.4226661,
4904,msedgewebview2.exe,1,14984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 145.0.3800.70)"" --user-data-dir=""C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --embedded-browser-webview=1 --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --always-read-main-dll --metrics-shmem-handle=1888,i,12410694269222427169,6723505582511421325,262144 --field-trial-handle=1996,i,15680591008812997611,16114425679614372316,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace",68.30510579999999,97.8466524,29.541546600000004,70.2274985,
10664,msedgewebview2.exe,1,14984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=de --service-sandbox-type=none --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 145.0.3800.70)"" --user-data-dir=""C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --embedded-browser-webview=1 --always-read-main-dll --metrics-shmem-handle=2288,i,13631833934877573476,16794902489290014698,524288 --field-trial-handle=1996,i,15680591008812997611,16114425679614372316,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-",68.39541179999999,97.79714969999999,29.4017379,70.87342969999999,
6440,ctfmon.exe,1,5152,/QuitInfo:0000000000000480;00000000000002D0; ,68.97938819999999,163.5483484,94.56896020000002,69.79060179999999,
6424,SenseNdr.exe,0,7028,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe"" -",69.1661998,163.5497509,94.38355109999999,69.5508899,
1164,backgroundTaskHost.exe,1,1456,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",69.2905421,72.33477959999999,3.044237499999994,70.2338475,
15472,MpCmdRun.exe,0,7140,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe"" -MpCmdRunGetAadToken -UseLastLogonImpersonation",70.1337078,71.77738769999999,1.643679899999995,,
15484,RuntimeBroker.exe,1,1456,C:\Windows\System32\RuntimeBroker.exe -Embedding,70.152294,163.5504484,93.3981544,128.1568287,
15524,msedgewebview2.exe,1,14984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 145.0.3800.70)"" --user-data-dir=""C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=de --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --js-flags=""--expose-gc --ms-user-locale=de_DE"" --time-ticks-at-unix-epoch=-1772180572225965 --launch-time-ticks=70860520 --always-read-main-dll --metrics-shmem-handle=3528,i,17413498158416151921,11098979208200388157,2097152 --field-trial-handle=1996,i,15680591008812997611,16114425679",70.2388039,97.7979039,27.5591,77.051524,
15540,msedgewebview2.exe,1,14984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=de --service-sandbox-type=service --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 145.0.3800.70)"" --user-data-dir=""C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --embedded-browser-webview=1 --always-read-main-dll --metrics-shmem-handle=2416,i,337181503336778738,15368475754419352981,524288 --field-trial-handle=1996,i,15680591008812997611,16114425679614372316,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform",70.28699859999999,97.7983845,27.511385900000008,92.7706544,
15644,conhost.exe,0,15472,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,70.57864789999999,71.7975359,1.2188880000000069,,
